Accounts Code,Amount,Description,Records,Average
151101,"4,574,390.65",Owner`s Rates Residential,5193,880.876305
151102,"4,613,924.33",Owner`s Rates Industrial/Commercial,959,4811.182826
151201,"179,857.50",Personal Levy,2903,61.955735
152001,"2,143.57",Consent Fees,11,194.870000
152002,"238,621.60",Survey Fees,199,1199.103518
152003,"470,865.00",Building Inspection Fees,426,1105.316901
152004,"342,861.00",Plan Scrutiny Fee,104,3296.740385
152005,"23,600.00",Change of Premise Use,5,4720.000000
152007,"153,290.00",Rentals/Lease of Council Properties,178,861.179775
152008,"415,530.00",Application Form Fees,8786,47.294560
152010,"5,000.00",Sketch Plan,1,5000.000000
152011,"11,500.00",Search Fees,113,101.769912
152013,"693,561.00",Market Fees,1881,368.719298
152014,"129,106.00",Parking Fees,782,165.097187
152016,"660,909.00",Bus Station Fees,1343,492.113924
152017,"11,550.00",Affidavit Fees,780,14.807692
152021,"18,000.00",Hire of grounds/stadia,25,720.000000
152033,"184,745.00",Refuse Disposal,231,799.761905
152045,"24,600.00",Notice of marriages,60,410.000000
152046,"327,191.00",Abattoir/ meat inspection fees,319,1025.677116
152047,"57,400.00",Registration of clubs and societies,209,274.641148
152050,"397,386.40",Farm produce levy,84,4730.790476
152052,"531,693.00",Car dealer levy,450,1181.540000
152053,"184,000.00",Communication mast levy,45,4088.888889
152057,"323,970.00",Agents Licence,272,1191.066176
152062,"923,096.11",Billboards and Banners,147,6279.565374
152065,"560,921.00",Penalties,901,622.553829
152066,"354,097.00",Ground Rent,1616,219.119431
152099,"773,111.77",Other Fees and Charges,5686,135.967599
153001,"131,100.00",Manufacturers Licence,80,1638.750000
153002,"1,051,935.00",Retail Licence,1592,660.763191
153003,"61,685.00",Wholesale Licence,38,1623.289474
153004,"418,500.00",Occupancy Licence,209,2002.392344
153006,"2,540.00",Hawkers Licence,9,282.222222
153009,"252,450.00",Liquor Licence,153,1650.000000
153010,"38,050.00",Firearm and ammunition Licence,132,288.257576
153011,"131,770.00",Petroleum Licence,26,5068.076923
153013,"2,060.00",Dog Licence,21,98.095238
154001,"6,816.00",Livestock Levy,24,284.000000
155001,"1,775,800.00",Health Permits,2554,695.301488
155002,300.00,Permit for Opaque Beer,1,300.000000
155005,"68,790.00",Transportation of Meat Products,116,593.017241
155007,"20,500.00","Nursery, Pre School Permits",36,569.444444
155008,"19,830.00",Burial Permits and Grave Sites,150,132.200000
155009,"1,339,500.00",Fire Certificate,2656,504.329819
155010,"1,015,826.50",Business Permit,770,1319.255195
155011,"1,500.00",Extension of Business Hours Permit,4,375.000000
155099,300.00,Other Permits,1,300.000000
156003,"959,527.72",Premium Plot -Residential,165,5815.319515
156004,"292,900.00",Premium Plot -Commerical,22,13313.636364
156099,"308,541.33",Other Charges,194,1590.419227
157099,"57,177.00",Other Income,54,1058.833333
