Accounts Code,Amount,Description,Records,Average
151101,"4,522,800.11",Owner`s Rates Residential,5824,776.579689
151102,"3,693,037.33",Owner`s Rates Industrial/Commercial,790,4674.730797
151201,"135,562.50",Personal Levy,4427,30.621753
152001,"1,364.09",Consent Fees,7,194.870000
152002,"367,760.00",Survey Fees,167,2202.155689
152003,"220,722.00",Building Inspection Fees,334,660.844311
152004,"307,770.00",Plan Scrutiny Fee,110,2797.909091
152005,750.00,Change of Premise Use,1,750.000000
152007,"864,750.72",Rentals/Lease of Council Properties,217,3985.026359
152008,"838,430.00",Application Form Fees,12255,68.415341
152011,"11,300.00",Search Fees,113,100.000000
152013,"865,570.50",Market Fees,2803,308.801463
152014,"202,063.00",Parking Fees,1199,168.526272
152016,"855,598.00",Bus Station Fees,1372,623.613703
152017,"14,970.00",Affidavit Fees,1020,14.676471
152021,"8,000.00",Hire of grounds/stadia,14,571.428571
152033,"357,902.00",Refuse Disposal,407,879.366093
152045,"34,500.00",Notice of marriages,92,375.000000
152046,"437,400.00",Abattoir/ meat inspection fees,404,1082.673267
152050,"388,602.00",Farm produce levy,88,4415.931818
152052,"1,530,496.00",Car dealer levy,948,1614.447257
152053,"172,000.00",Communication mast levy,43,4000.000000
152057,"481,200.00",Agents Licence,401,1200.000000
152062,"1,072,104.09",Billboards and Banners,188,5702.681330
152065,"483,470.00",Penalties,612,789.983660
152066,"482,294.49",Ground Rent,2097,229.992604
152099,"545,057.30",Other Fees and Charges,6322,86.215960
153001,"74,000.00",Manufacturers Licence,37,2000.000000
153002,"1,649,500.00",Retail Licence,2566,642.829306
153003,"89,900.00",Wholesale Licence,58,1550.000000
153004,"381,500.00",Occupancy Licence,199,1917.085427
153006,"6,300.00",Hawkers Licence,21,300.000000
153009,"335,775.00",Liquor Licence,198,1695.833333
153010,"52,000.00",Firearm and ammunition Licence,194,268.041237
153011,"230,620.00",Petroleum Licence,40,5765.500000
153013,"1,051.00",Dog Licence,10,105.100000
154001,10.00,Livestock Levy,1,10.000000
155001,"2,519,400.00",Health Permits,3330,756.576577
155002,600.00,Permit for Opaque Beer,2,300.000000
155003,500.00,Herbalist Permit,1,500.000000
155005,"194,900.00",Transportation of Meat Products,253,770.355731
155007,"30,000.00","Nursery, Pre School Permits",60,500.000000
155008,"24,055.00",Burial Permits and Grave Sites,232,103.685345
155009,"2,069,846.00",Fire Certificate,3628,570.519846
155010,"1,551,555.00",Business Permit,1137,1364.604222
155011,"5,700.00",Extension of Business Hours Permit,16,356.250000
156003,"3,241,520.00",Premium Plot -Residential,240,13506.333333
156004,"58,650.00",Premium Plot -Commerical,6,9775.000000
156099,"250,711.06",Other Charges,371,675.771051
157099,"1,029,843.07",Other Income,475,2168.090674
