Accounts Code,Amount,Description,Records,Average
151101,"2,665,436.82",Owner`s Rates Residential,4273,623.785823
151102,"2,849,991.65",Owner`s Rates Industrial/Commercial,621,4589.358535
151201,"181,582.00",Personal Levy,3833,47.373337
152001,"2,923.05",Consent Fees,15,194.870000
152002,"230,625.00",Survey Fees,129,1787.790698
152003,"463,231.00",Building Inspection Fees,324,1429.725309
152004,"269,683.50",Plan Scrutiny Fee,117,2304.987179
152005,"5,000.00",Change of Premise Use,1,5000.000000
152007,"172,114.00",Rentals/Lease of Council Properties,220,782.336364
152008,"453,472.00",Application Form Fees,10300,44.026408
152010,540.00,Sketch Plan,3,180.000000
152011,"7,800.00",Search Fees,78,100.000000
152012,380.00,Notice Board Advert Fees,9,42.222222
152013,"666,867.50",Market Fees,2503,266.427287
152014,"139,704.00",Parking Fees,770,181.433766
152016,"648,055.00",Bus Station Fees,724,895.103591
152017,"33,525.00",Affidavit Fees,2177,15.399633
152021,"9,500.00",Hire of grounds/stadia,7,1357.142857
152033,"132,856.00",Refuse Disposal,401,331.311721
152045,"13,788.00",Notice of marriages,51,270.352941
152046,"210,850.00",Abattoir/ meat inspection fees,231,912.770563
152050,"132,975.00",Farm produce levy,58,2292.672414
152052,"974,588.32",Car dealer levy,296,3292.528108
152053,"220,000.00",Communication mast levy,41,5365.853659
152057,"384,000.00",Agents Licence,320,1200.000000
152062,"607,941.48",Billboards and Banners,137,4437.529051
152065,"113,550.00",Penalties,96,1182.812500
152066,"174,471.00",Ground Rent,1059,164.750708
152099,"543,890.30",Other Fees and Charges,3696,147.156466
153001,"62,000.00",Manufacturers Licence,32,1937.500000
153002,"1,326,100.00",Retail Licence,2136,620.833333
153003,"82,650.00",Wholesale Licence,54,1530.555556
153004,"308,000.00",Occupancy Licence,168,1833.333333
153006,"1,350.00",Hawkers Licence,5,270.000000
153009,"343,200.00",Liquor Licence,186,1845.161290
153010,475.00,Firearm and ammunition Licence,16,29.687500
153011,"177,908.00",Petroleum Licence,36,4941.888889
153013,808.00,Dog Licence,11,73.454545
154004,"21,095.00",Pole Levy,2,10547.500000
154009,300.00,Bicycle Levy,6,50.000000
155001,"2,192,650.00",Health Permits,2822,776.984408
155002,600.00,Permit for Opaque Beer,2,300.000000
155005,"37,580.00",Transportation of Meat Products,87,431.954023
155007,"13,500.00","Nursery, Pre School Permits",29,465.517241
155008,"13,080.00",Burial Permits and Grave Sites,392,33.367347
155009,"1,747,990.00",Fire Certificate,3177,550.201448
155010,"1,468,912.50",Business Permit,1140,1288.519737
156003,"473,300.00",Premium Plot -Residential,88,5378.409091
156004,"158,070.00",Premium Plot -Commerical,18,8781.666667
156099,"255,367.78",Other Charges,362,705.435856
157099,"88,112.73",Other Income,66,1335.041364
