Accounts Code,Amount,Description,Records,Average
151101,2665436.82 ,Owner`s Rates Residential,4273.00 ,623.785823
151102,2849991.65 ,Owner`s Rates Industrial/Commercial,621.00 ,4589.358535
151201,181582.00 ,Personal Levy,3833.00 ,47.373337
152001,2923.05 ,Consent Fees,15.00 ,194.87
152002,230625.00 ,Survey Fees,129.00 ,1787.790698
152003,463231.00 ,Building Inspection Fees,324.00 ,1429.725309
152004,269683.50 ,Plan Scrutiny Fee,117.00 ,2304.987179
152005,5000.00 ,Change of Premise Use,1.00 ,5000
152007,172114.00 ,Rentals/Lease of Council Properties,220.00 ,782.336364
152008,453472.00 ,Application Form Fees,10300.00 ,44.026408
152010,540.00 ,Sketch Plan,3.00 ,180
152011,7800.00 ,Search Fees,78.00 ,100
152012,380.00 ,Notice Board Advert Fees,9.00 ,42.222222
152013,666867.50 ,Market Fees,2503.00 ,266.427287
152014,139704.00 ,Parking Fees,770.00 ,181.433766
152016,648055.00 ,Bus Station Fees,724.00 ,895.103591
152017,33525.00 ,Affidavit Fees,2177.00 ,15.399633
152021,9500.00 ,Hire of grounds/stadia,7.00 ,1357.142857
152033,132856.00 ,Refuse Disposal,401.00 ,331.311721
152045,13788.00 ,Notice of marriages,51.00 ,270.352941
152046,210850.00 ,Abattoir/ meat inspection fees,231.00 ,912.770563
152050,132975.00 ,Farm produce levy,58.00 ,2292.672414
152052,974588.32 ,Car dealer levy,296.00 ,3292.528108
152053,220000.00 ,Communication mast levy,41.00 ,5365.853659
152057,384000.00 ,Agents Licence,320.00 ,1200
152062,607941.48 ,Billboards and Banners,137.00 ,4437.529051
152065,113550.00 ,Penalties,96.00 ,1182.8125
152066,174471.00 ,Ground Rent,1059.00 ,164.750708
152099,543890.30 ,Other Fees and Charges,3696.00 ,147.156466
153001,62000.00 ,Manufacturers Licence,32.00 ,1937.5
153002,1326100.00 ,Retail Licence,2136.00 ,620.833333
153003,82650.00 ,Wholesale Licence,54.00 ,1530.555556
153004,308000.00 ,Occupancy Licence,168.00 ,1833.333333
153006,1350.00 ,Hawkers Licence,5.00 ,270
153009,343200.00 ,Liquor Licence,186.00 ,1845.16129
153010,475.00 ,Firearm and ammunition Licence,16.00 ,29.6875
153011,177908.00 ,Petroleum Licence,36.00 ,4941.888889
153013,808.00 ,Dog Licence,11.00 ,73.454545
154004,21095.00 ,Pole Levy,2.00 ,10547.5
154009,300.00 ,Bicycle Levy,6.00 ,50
155001,2192650.00 ,Health Permits,2822.00 ,776.984408
155002,600.00 ,Permit for Opaque Beer,2.00 ,300
155005,37580.00 ,Transportation of Meat Products,87.00 ,431.954023
155007,13500.00 ,"Nursery, Pre School Permits",29.00 ,465.517241
155008,13080.00 ,Burial Permits and Grave Sites,392.00 ,33.367347
155009,1747990.00 ,Fire Certificate,3177.00 ,550.201448
155010,1468912.50 ,Business Permit,1140.00 ,1288.519737
156003,473300.00 ,Premium Plot -Residential,88.00 ,5378.409091
156004,158070.00 ,Premium Plot -Commerical,18.00 ,8781.666667
156099,255367.78 ,Other Charges,362.00 ,705.435856
157099,88112.73 ,Other Income,66.00 ,1335.041364
