Accounts Code,Amount,Description,Records,Average
151101,4522800.11 ,Owner`s Rates Residential,5824.00 ,776.579689
151102,3693037.33 ,Owner`s Rates Industrial/Commercial,790.00 ,4674.730797
151201,135562.50 ,Personal Levy,4427.00 ,30.621753
152001,1364.09 ,Consent Fees,7.00 ,194.87
152002,367760.00 ,Survey Fees,167.00 ,2202.155689
152003,220722.00 ,Building Inspection Fees,334.00 ,660.844311
152004,307770.00 ,Plan Scrutiny Fee,110.00 ,2797.909091
152005,750.00 ,Change of Premise Use,1.00 ,750
152007,864750.72 ,Rentals/Lease of Council Properties,217.00 ,3985.026359
152008,838430.00 ,Application Form Fees,12255.00 ,68.415341
152011,11300.00 ,Search Fees,113.00 ,100
152013,865570.50 ,Market Fees,2803.00 ,308.801463
152014,202063.00 ,Parking Fees,1199.00 ,168.526272
152016,855598.00 ,Bus Station Fees,1372.00 ,623.613703
152017,14970.00 ,Affidavit Fees,1020.00 ,14.676471
152021,8000.00 ,Hire of grounds/stadia,14.00 ,571.428571
152033,357902.00 ,Refuse Disposal,407.00 ,879.366093
152045,34500.00 ,Notice of marriages,92.00 ,375
152046,437400.00 ,Abattoir/ meat inspection fees,404.00 ,1082.673267
152050,388602.00 ,Farm produce levy,88.00 ,4415.931818
152052,1530496.00 ,Car dealer levy,948.00 ,1614.447257
152053,172000.00 ,Communication mast levy,43.00 ,4000
152057,481200.00 ,Agents Licence,401.00 ,1200
152062,1072104.09 ,Billboards and Banners,188.00 ,5702.68133
152065,483470.00 ,Penalties,612.00 ,789.98366
152066,482294.49 ,Ground Rent,2097.00 ,229.992604
152099,545057.30 ,Other Fees and Charges,6322.00 ,86.21596
153001,74000.00 ,Manufacturers Licence,37.00 ,2000
153002,1649500.00 ,Retail Licence,2566.00 ,642.829306
153003,89900.00 ,Wholesale Licence,58.00 ,1550
153004,381500.00 ,Occupancy Licence,199.00 ,1917.085427
153006,6300.00 ,Hawkers Licence,21.00 ,300
153009,335775.00 ,Liquor Licence,198.00 ,1695.833333
153010,52000.00 ,Firearm and ammunition Licence,194.00 ,268.041237
153011,230620.00 ,Petroleum Licence,40.00 ,5765.5
153013,1051.00 ,Dog Licence,10.00 ,105.1
154001,10.00 ,Livestock Levy,1.00 ,10
155001,2519400.00 ,Health Permits,3330.00 ,756.576577
155002,600.00 ,Permit for Opaque Beer,2.00 ,300
155003,500.00 ,Herbalist Permit,1.00 ,500
155005,194900.00 ,Transportation of Meat Products,253.00 ,770.355731
155007,30000.00 ,"Nursery, Pre School Permits",60.00 ,500
155008,24055.00 ,Burial Permits and Grave Sites,232.00 ,103.685345
155009,2069846.00 ,Fire Certificate,3628.00 ,570.519846
155010,1551555.00 ,Business Permit,1137.00 ,1364.604222
155011,5700.00 ,Extension of Business Hours Permit,16.00 ,356.25
156003,3241520.00 ,Premium Plot -Residential,240.00 ,13506.33333
156004,58650.00 ,Premium Plot -Commerical,6.00 ,9775
156099,250711.06 ,Other Charges,371.00 ,675.771051
157099,1029843.07 ,Other Income,475.00 ,2168.090674
